name,MRR@10,NDCG@10,Recall@10,Recall@100,Precision@10,Latency (ms),NDCG Rank,MRR Rank
BM25,0.466691237898668,0.2689343672702016,0.12431101017393827,0.20912159525592025,0.1941176470588237,2.705957129274729,6,6
Pre-trained Bi-Encoder,0.4719310531230036,0.275156788069384,0.13265619787732855,0.24913031223894078,0.20030959752322006,2.8597503992795206,5,5
Two-Stage (Bi+Cross),0.5660032434026241,0.33839045418021946,0.15113872650831903,0.24913031223894078,0.23281733746129996,308.19274692712554,2,2
Full Fine-Tuning,0.4976399331662486,0.3164489930252034,0.15434897457085403,0.3553964746374083,0.2569659442724455,2.0950814887835145,3,4
LoRA Fine-Tuning,0.4473327927662291,0.2658437283158584,0.12961867060620005,0.277689182179838,0.2077399380804955,2.0156511950419045,7,7
Zero-shot LLM,0.5933948412698414,0.37416642470186473,0.17138994100990323,0.17138994100990323,0.27100000000000013,2042.295752763748,1,1
Chain-of-Thought LLM,0.4988373015873016,0.31596670365453566,0.16058187518006314,0.16058187518006314,0.24850000000000005,7687.445515394211,4,3
