name,MRR@10,NDCG@10,Recall@10,Recall@100,Precision@10,Latency (ms)
BM25,0.466691237898668,0.2689343672702016,0.12431101017393827,0.20912159525592025,0.1941176470588237,4.10962326238768
Pre-trained Bi-Encoder,0.4719310531230036,0.275156788069384,0.13265619787732855,0.24913031223894078,0.20030959752322006,3.389278063464091
Two-Stage (Bi+Cross),0.5660032434026241,0.33839045418021946,0.15113872650831903,0.24913031223894078,0.23281733746129996,326.8930771771599
Full Fine-Tuning,0.48077669664356965,0.29730015613190514,0.14718017543467368,0.35580163695271194,0.24148606811145484,2.1134670304809196
LoRA Fine-Tuning,0.44373433583959876,0.2678056246547646,0.13130857245351626,0.275521016091271,0.2120743034055728,2.0445367500139833
Hybrid (λ=0.9),0.5398090815273475,0.349282458386443,0.16981960071796165,0.364650770668667,0.26904024767801826,15.91610687066896
