name,MRR@10,NDCG@10,Recall@10,Recall@100,Precision@10,Latency (ms)
BM25,0.466691237898668,0.2689343672702016,0.12431101017393827,0.20912159525592025,0.1941176470588237,2.529765799318674
Pre-trained Bi-Encoder,0.4719310531230036,0.275156788069384,0.13265619787732855,0.24913031223894078,0.20030959752322006,2.8726257406890205
Two-Stage (Bi+Cross),0.5660032434026241,0.33839045418021946,0.15113872650831903,0.24913031223894078,0.23281733746129996,305.8925774813436
Full Fine-Tuning,0.5043896505970809,0.3106726793280206,0.15058949772949448,0.35161337018550504,0.2532507739938078,1.9782386697113699
LoRA Fine-Tuning,0.4491068357167428,0.2692747133298934,0.13087402194143127,0.27920507800751054,0.2111455108359134,1.9952490602853499
